"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","area","position","gender","age","country","country_other","category_of_work","general_feeling","general_feeling_cause","research_stage","interest","amusement","pride","joy","pleasure","contentment","love","admiration","relief","compassion","sadness","guilt","regret","shame","disappointment","fear","disgust","contempt","hate","anger","research_stage_feeling_cause"
41,218,TRUE,"2025-03-20 12:05:47","Yes","Health sciences","Full professor","Man",42,"",NA,"Lab/online research",2,"good collaborations ","Reviews and revisions",6,6,6,6,5,6,3,5,5,5,1,1,1,1,1,1,1,1,1,1,""
42,347,TRUE,"2025-03-20 12:20:47","Yes","Health sciences","Assistant professor","Woman",35,"Egypt",NA,"Lab/online research",-2,"The financial load","Report writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"I feel too much stress and no support either in writing or financial"
43,427,TRUE,"2025-03-20 12:36:42","Yes","Life sciences","Associate professor","Woman",42,"Brazil",NA,"Lab/online research",-2,"excessive work, deadlines, too much responsibility, lack of rest","Preparations (IRB permit, preregistration, experiment preparations)",6,3,7,3,3,4,1,5,1,1,4,3,2,2,6,5,5,0,0,0,""
44,163,TRUE,"2025-03-20 12:46:41","Yes","Health sciences","Full professor","Woman",33,"Spain",NA,"Field research",2,"social impact","Reality check (e.g., literature search, consultation with colleagues)",7,6,6,6,6,5,1,5,1,1,0,0,1,0,0,3,0,0,0,0,""
45,311,TRUE,"2025-03-20 13:35:04","Yes","Life sciences","Postdoc","Man",42,"Germany",NA,"Lab/online research",2,"I have a permanent position","Reviews and revisions",7,5,6,5,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"Relief and interest because a manuscript was finally close to be accepted"
46,190,TRUE,"2025-03-20 13:51:19","Yes","Health sciences","Full professor","Woman",42,"France",NA,"Lab/online research",1,"We work on very important and fulfilling jobs, but the work overload can be stressful","Data collection",6,3,4,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Interest: data collection in this field is very useful and interesting, with a clear purpose and sense of participating in something worthy"
47,466,TRUE,"2025-03-20 14:03:46","Yes","Health sciences","Other","Man",35,"Canada",NA,"Lab/online research",1,"I happy to be pursuing truth which I believe is an inherent good. Of course, in doing so, I also hope to improve the lives of others. I would have rated my experiences more positively, but there always limitations on my ability to achieve these aims. ","Reviews and revisions",3,0,4,0,1,2,2,0,3,0,3,2,0,2,2,5,0,5,2,7,"I experienced profound anger throughout the revision process I was dealing with a very large dataset for the first time and the revisions required me to perform procedures that were initially beyond my abilities. Because of this, I ran into many issues and experienced intense anger and frustration. However, I was largely able to rectify the issues in time, but it was a frustrating process. "
48,134,TRUE,"2025-03-20 14:58:27","Yes","Social sciences","Associate professor","Man",42,"United States of America",NA,"Clinical research",3,"Doing work that I find meaningful, being able to ask questions I care about, working with dedicated colleagues and students","Data analysis",6,6,6,6,5,6,5,6,5,6,1,1,1,1,1,1,0,0,0,1,"Really caring about the topic we are studying"
49,15123,TRUE,"2025-03-20 16:05:43","Yes","Health sciences","Full professor","Man",51,"Brazil",NA,"Clinical research",2,"I am proud of the research papers I've published","Preparations (IRB permit, preregistration, experiment preparations)",7,5,7,5,5,5,0,6,1,1,0,0,0,0,0,1,0,0,0,0,"I am excited about planning a pioneer project on my research area"
50,683,TRUE,"2025-03-20 21:09:21","Yes","Health sciences","PhD student","Woman",45,"Netherlands",NA,"Clinical research",1,"I like the combination of research and work with patients in clinical practice. Research improviseer my clinical practice and work relationships. Negative is the need to find financial support and the effort to retrieve such grants. ","Post-project stage (you recently finished the project)",5,4,5,4,4,4,4,4,4,4,5,5,4,2,4,5,0,4,0,1,"Guilt. My PhD project lasted longe than anticipated. Therefore, I need to spend my sofa time doing research, while I want to spend time with my kids or mother. It is difficult to find a work-life balance."
51,295,TRUE,"2025-03-20 22:58:01","Yes","Health sciences","Full professor","Man",58,"Australia",NA,"Lab/online research",2,"Enjoyed my time doing research however administrative duties and increasingly difficult access to funding stops me ranking it the highest.","Data collection",7,3,3,3,6,6,3,3,5,3,0,0,0,0,0,0,0,0,0,0,"Passion for what I do"
52,136,TRUE,"2025-03-21 00:21:43","Yes","Life sciences","Assistant professor","Woman",43,"Japan",NA,"Clinical research",0,"","Reviews and revisions",4,4,4,4,4,4,4,3,3,3,2,1,1,1,3,1,1,1,1,3,""
53,294,TRUE,"2025-03-21 04:39:00","Yes","Physical sciences","Full professor","Man",42,"Australia",NA,"Lab/online research",3,"Freedom, curiosity and collegiality","Project genesis/ first thoughts/ idea creation",7,6,6,7,6,5,5,6,2,5,0,0,1,0,1,0,0,0,0,0,"The pleasure of being part of a problem much bigger than myself"
54,186,TRUE,"2025-03-21 07:10:16","Yes","Social sciences","PhD student","Woman",37,"Australia",NA,"Field research",2,"Working with people and learning about the world","Preparations (IRB permit, preregistration, experiment preparations)",5,2,3,2,2,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,"Interest. Problem solving and working out what steps go into planning process."
55,302,TRUE,"2025-03-21 07:16:15","Yes","Health sciences","Assistant professor","Woman",59,"Sweden",NA,"Lab/online research",1,"I love research, but the competitive environment makes me sad","Report writing",5,2,4,2,2,0,0,2,4,6,4,0,0,0,6,0,0,0,0,1,"That my coworkers didn't deliver as expected"
56,597,TRUE,"2025-03-21 07:18:37","Yes","Life sciences","PhD student","Man",25,"China",NA,"Lab/online research",-3,"Strees，meanless，interpersonal relationship","Project genesis/ first thoughts/ idea creation",7,3,1,3,3,1,1,1,1,1,5,6,2,6,3,7,0,0,0,0,"Lack of identification and external support"
57,142,TRUE,"2025-03-21 16:08:48","Yes","Health sciences","Full professor","Man",57,"Netherlands",NA,"Clinical research",2,"independent work","Project genesis/ first thoughts/ idea creation",6,5,6,6,6,6,6,5,6,6,0,0,0,0,0,0,0,0,0,0,"interest, because project is interesting"
58,306,TRUE,"2025-03-24 08:28:59","Yes","Health sciences","PhD student","Woman",44,"Sweden",NA,"Field research",-1,"Stress","Report writing",6,4,4,5,4,1,0,0,0,0,0,4,0,5,4,4,0,5,0,2,"Passion for the research subject"
59,696,TRUE,"2025-03-24 15:27:30","Yes","Health sciences","Assistant professor","Woman",32,"Hungary",NA,"Clinical research",2,"I enjoy having a shared field of interest, and a shared language with like minded individuals all over the globe. Nerding about my topic is bubble.","Report writing",5,5,6,5,2,3,3,4,5,4,3,5,4,4,4,5,5,2,5,5,"My last 2 months were an emotional rollercoaster. I came the closest ever wanting to stop research altogether. But I overcome by feeling the feeling of pride. An probably this is the most intense feeling I have through all the guilt or anger, I know I do good work. I know I do the best I can and it fills me with pride even on the hardest of days. "
60,263,TRUE,"2025-03-25 14:19:14","Yes","Health sciences","Assistant professor","Man",37,"Spain",NA,"Lab/online research",2,"Freedom of time schedule and feeling passionate about what I do on my daily basis.","Report writing",3,4,7,5,4,4,6,7,6,0,0,0,3,1,3,2,0,0,0,1,"I feel pride because the project was my idea and I am working on something difficult which was my idea and that I understand. "
61,206,TRUE,"2025-03-25 14:23:12","Yes","Health sciences","Full professor","Man",70,"Italy",NA,"Lab/online research",3,"discovery","Data collection",5,3,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"again discovery"
62,236,TRUE,"2025-03-25 14:24:03","Yes","Health sciences","Full professor","Man",45,"Norway",NA,"Clinical research",3,"Creation and exploration. Solving challenges, discovering new knowledge and constantly aiming for new frontiers.  Who wouldn't love this?!","Preparations (IRB permit, preregistration, experiment preparations)",6,4,6,6,5,3,2,1,4,1,3,0,0,0,1,2,0,0,1,4,"dong something groundbreaking and novel"
63,325,TRUE,"2025-03-25 14:28:34","Yes","Health sciences","Full professor","Man",70,"United States of America",NA,"Lab/online research",3,"satisfaction with my research","Report writing",7,2,5,5,5,7,3,5,5,2,0,0,0,0,0,0,0,0,0,0,"Understanding research goals"
64,368,TRUE,"2025-03-25 14:50:56","Yes","Health sciences","Full professor","Woman",56,"United Kingdom of Great Britain and Northern Ireland",NA,"Lab/online research",1,"I used to love it, but insecurity about research funding and acceptance of findings by governments has reduced my enthusiasm","Preparations (IRB permit, preregistration, experiment preparations)",5,5,4,5,5,5,4,4,6,4,1,1,1,1,1,1,0,1,0,1,"Relief.  Our newest grant means that my university position is safe for another three years and I will receive income.  It should not be this way as I am a very experienced and successful Professor.  But uncertainty in the higher education sector means that I do not enjoy research as much and I'm probably not as committed."
65,306,TRUE,"2025-03-25 14:54:48","Yes","Health sciences","Associate professor","Woman",49,"Italy",NA,"Lab/online research",2,"passion, so that even hard and tough days are positive days","Post-project stage (you recently finished the project)",5,3,5,1,3,0,0,0,7,4,5,0,1,0,5,5,5,0,5,5,"Releife because huge project ended, satisfy for great data collected, but hunger and disappointment versus partner not fear and respectfull of my work"
66,280,TRUE,"2025-03-25 15:39:11","Yes","Health sciences","Postdoc","Woman",61,"United Kingdom of Great Britain and Northern Ireland",NA,"Clinical research",1,"Financial situation","Reviews and revisions",5,4,5,5,5,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,"Biggest problem not being paid for work, difficulties with obtaining grants"
67,260,TRUE,"2025-03-25 15:55:47","Yes","Health sciences","Associate professor","Woman",40,"Canada",NA,"Clinical research",2,"I like the job, but funding is the main challenge","Preparations (IRB permit, preregistration, experiment preparations)",5,1,3,5,5,7,0,1,1,4,0,0,0,0,0,0,0,0,0,0,"Working with students and mentoring"
68,332,TRUE,"2025-03-25 16:05:46","Yes","Social sciences","PhD student","Prefer not to say",32,"United States of America",NA,"Lab/online research",1,"I hugely enjoy all aspects of research. Elements of the context in which research is conducted diminish my enjoyment (e.g., low pay, job insecurity)","Reviews and revisions",6,4,5,5,5,5,5,3,6,4,5,3,4,6,4,5,1,5,3,3,"I was worried I wouldn't be able to respond to one of the suggested revisions adequately, but I was able to, and it made the project better, which was both interesting and exciting"
69,139,TRUE,"2025-03-25 16:14:01","Yes","Social sciences","Postdoc","Woman",30,"United States of America",NA,"Lab/online research",1,"Workload, (inspiring) tasks, freedom to work when and where I want to","Waiting for journal's response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"No real feelings about waiting for journal's response except for a bit of annoyance since it's taking very long to hear back"
70,1030,TRUE,"2025-03-25 16:16:31","Yes","Health sciences","PhD student","Woman",40,"Denmark",NA,"Clinical research",2,"flexible workhours and interesting work with no nightshifts","Data collection",5,1,4,2,1,4,0,1,2,2,1,0,1,0,2,1,0,0,0,0,""
71,388,TRUE,"2025-03-25 17:42:46","Yes","Social sciences","Postdoc","Woman",30,"Canada",NA,"Lab/online research",0,"conflicting feelings towards research ","Preparations (IRB permit, preregistration, experiment preparations)",6,0,4,1,5,3,5,2,1,6,3,5,1,4,1,6,0,1,0,0,"Interest & Compassion are the feelings that motivate my research work
Fear is caused by the possibility of making mistakes and imposter syndrome "
72,283,TRUE,"2025-03-25 18:13:55","Yes","Health sciences","Full professor","Man",43,"Ecuador",NA,"Lab/online research",2,"time schedule and salary","Reviews and revisions",5,5,5,5,5,0,0,0,5,0,0,0,0,0,2,0,2,0,0,0,"I described my feeling related to the skill ""review and revision"". So far, these feelings were caused by the type of reviews received."
73,287,TRUE,"2025-03-25 20:07:30","Yes","Health sciences","Postdoc","Woman",52,"New Zealand",NA,"Clinical research",1,"","Data collection",6,4,6,4,6,6,3,5,6,3,0,0,2,0,0,0,0,0,0,0,"Pride- it’s a good project that will be useful "
74,799,TRUE,"2025-03-25 22:43:09","Yes","Social sciences","Assistant professor","Man",37,"Canada",NA,"Lab/online research",2,"Freedom to study and teach what I want -- the (general) security offered by academic life.","Report writing",5,4,6,3,5,6,1,2,6,1,0,2,2,0,0,2,0,0,0,1,"Excitement about seeing a project come together after several years of work"
75,10213,TRUE,"2025-03-25 22:49:46","Yes","Life sciences","Full professor","Man",48,"Spain",NA,"Lab/online research",2,"fulfilled","Data analysis",5,2,3,4,4,4,3,2,3,1,1,1,2,1,2,2,0,1,0,1,"satisfaction for work"
76,117,TRUE,"2025-03-25 23:32:01","Yes","Life sciences","Full professor","Man",52,"Australia",NA,"Lab/online research",3,"independence/freedom","Data analysis",7,6,5,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"challenge"
77,241,TRUE,"2025-03-26 02:06:27","Yes","Life sciences","Full professor","Man",60,"China",NA,"Lab/online research",3,"I love my career","Reviews and revisions",3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,"No"
78,206,TRUE,"2025-03-26 07:18:59","Yes","Health sciences","Assistant professor","Man",39,"Singapore",NA,"Lab/online research",2,"The work is valuable, and I am lucky to have a relatively secure position, pending tenure","Project genesis/ first thoughts/ idea creation",6,0,5,2,2,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,"The project is interesting, and that interest is my main motivation in pursuing it"
79,678,TRUE,"2025-03-26 08:01:57","Yes","Health sciences","Full professor","Woman",50,"Turkey",NA,"Clinical research",1,"Sometimes I despair","Data collection",6,4,6,4,4,4,4,4,6,4,3,3,3,3,3,3,3,3,3,3,"Sometimes I despair"
80,273,TRUE,"2025-03-26 10:20:28","Yes","Health sciences","Associate professor","Woman",36,"France",NA,"Clinical research",2,"Completion , learning processes","Report writing",5,3,6,5,5,6,0,0,6,0,1,0,0,2,1,3,0,0,0,0,""
81,698,TRUE,"2025-03-27 18:00:28","Yes","Social sciences","Other","Man",45,"Israel",NA,"Lab/online research",1,"I feel positively about conducting research in fields of my interest and expertise, about gaining knowledge and putting interesting questions and hypothesis into test.  I mostly feel negatively about this work having very little financial benefits and it often feels exploitative  and unrewarding ","Post-project stage (you recently finished the project)",5,5,6,5,6,6,0,0,3,0,0,0,0,0,0,0,0,5,0,6,"I was generally happy with the scientific process, which made me proud and content. I was generally displeased with the attitude I received as a researcher,  which consisted of very low pay,  high requirements, little respect for my time and effort, and expectation for me to solve various problems which are outside my field of expertise. "
82,141,TRUE,"2025-04-02 13:36:16","Yes","Social sciences","Assistant professor","Man",34,"Germany",NA,"Lab/online research",2,"I can explore interesting questions and talk to brillant people about stuff that i find genuinely interesting and important","Waiting for journal's response",5,4,4,4,5,6,0,0,1,0,4,2,3,2,5,0,0,4,0,2,"Science is hard"
