StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,area,position,gender,age,country,country_other,category_of_work,feeling_general_1,cause_general,research_stage,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage
2025-04-07 11:30:49,2025-04-07 11:34:32,IP Address,100,222,True,2025-04-07 11:34:32,R_2Vdoq8V5nfxzkvi,email,EN,Yes,Health sciences,Full professor,Man,64,France,,Lab/online research,2,liberty,"Preparations (IRB permit, preregistration, experiment preparations)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,waste of time
2025-04-07 13:42:06,2025-04-07 13:46:58,IP Address,100,291,True,2025-04-07 13:46:58,R_7Jpw9qwSyB1xqCd,email,EN,Yes,Life sciences,Non-academic researcher,Man,55,France,,Lab/online research,2,"Intellectually and socially stimulating, enriching and interesting","Reality check (e.g., literature search, consultation with colleagues)",7,0,4,0,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work."
2025-04-07 13:41:10,2025-04-07 13:48:03,IP Address,100,413,True,2025-04-07 13:48:04,R_9KuJPsAy631gCXK,email,EN,Yes,Social sciences,Research assistant,Woman,25,China,,Lab/online research,-1,"Little academic support from supervisor, long time for publication",Waiting for journal's response,2,1,2,2,1,1,2,0,2,0,5,2,1,0,4,3,1,0,4,5,I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait
2025-04-07 14:41:41,2025-04-07 14:45:56,IP Address,100,254,True,2025-04-07 14:45:57,R_9NeqSA8RE9cMDFq,email,EN,Yes,Health sciences,Postdoc,Woman,36,Australia,,Lab/online research,-1,"Overwork, unreasonable expectations, doing the job of multiple people",Project genesis/ first thoughts/ idea creation,2,0,0,0,1,2,0,0,0,0,4,2,5,3,5,7,4,5,2,4,"Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia"
2025-04-07 14:16:19,2025-04-07 14:50:43,IP Address,100,2064,True,2025-04-07 14:50:43,R_23rMkicjAEPBfpv,email,EN,Yes,Health sciences,Associate professor,Man,56,Egypt,,Clinical research,-2," sleep deprivation  Lack of social life and detached from family",Report writing,7,0,3,1,1,1,0,1,4,0,3,0,0,0,2,0,0,0,0,0,Lonliness as my intense work can't be shared with my  co-investigators or friends
2025-04-07 15:00:57,2025-04-07 15:04:31,IP Address,100,213,True,2025-04-07 15:04:31,R_71RGZ3VgJ7K2fOM,email,EN,Yes,Life sciences,Associate professor,Man,34,United States of America,,Clinical research,2,I enjoy conducting research and see its value.,Data collection,6,3,5,3,4,4,1,2,2,3,3,3,4,2,3,3,2,0,0,1,"""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project."
2025-04-07 16:06:46,2025-04-07 16:13:33,IP Address,100,407,True,2025-04-07 16:13:34,R_501yOv0vlL69dBy,email,EN,Yes,Life sciences,Postdoc,Woman,33,United States of America,,Lab/online research,2,"Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems ","Reality check (e.g., literature search, consultation with colleagues)",4,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,"I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators."
2025-04-07 17:32:51,2025-04-07 17:36:57,IP Address,100,246,True,2025-04-07 17:36:58,R_60ubsBP7WFFMlfb,email,EN,Yes,Life sciences,Full professor,Man,63,United Kingdom of Great Britain and Northern Ireland,,Lab/online research,2,Enjoy discovering new facts,Data collection,5,0,3,2,1,3,0,1,2,0,2,2,3,2,3,2,0,0,0,0,Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists.
2025-04-08 01:06:04,2025-04-08 01:48:47,IP Address,100,2562,True,2025-04-08 01:48:48,R_4knP3icyDIk63xY,email,EN,Yes,Social sciences,Associate professor,Man,35,China,,Lab/online research,3,Enjoy conducting research,Report writing,3,5,7,7,7,7,7,7,5,7,0,0,0,0,0,0,0,0,0,0,The sense of achievement and joy brought by scientific research.
2025-04-08 04:16:32,2025-04-08 04:22:19,IP Address,100,346,True,2025-04-08 04:22:19,R_1nT6Oim7qOPjXeg,email,EN,Yes,Health sciences,Full professor,Woman,52,United States of America,,Clinical research,1,"stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load ",Data collection,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It is interesting to interact with study participants and hear their thoughts about the topic of study.
2025-04-08 13:38:49,2025-04-08 13:44:10,IP Address,100,321,True,2025-04-08 13:44:11,R_8eUXkmSHtKYhYqy,email,EN,Yes,Health sciences,Full professor,Man,58,Finland,,Clinical research,-2,continuously too much work and byrocracy,Report writing,6,1,4,3,3,0,2,2,0,3,3,2,2,0,6,5,1,0,5,5,"Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)"
2025-04-09 05:09:20,2025-04-09 05:12:56,IP Address,100,216,True,2025-04-09 05:12:57,R_4kNtI999D9g0GaN,email,EN,Yes,Health sciences,Full professor,Man,39,China,,Field research,1,Flexible working hours,Waiting for journal's response,5,4,4,5,4,4,4,5,5,4,2,1,1,1,2,1,1,1,1,1,-
2025-04-16 23:23:01,2025-04-16 23:36:25,IP Address,100,804,True,2025-04-16 23:36:27,R_1lbj0mwMLLB2bwD,email,EN,Yes,Health sciences,Postdoc,Woman,35,United States of America,,Lab/online research,-2,"Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals.",Reviews and revisions,3,0,3,1,1,1,0,0,0,0,7,0,5,7,7,0,7,7,7,7,"Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections."
